family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
UTF-8	simdutf::count_utf8	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:3935	SIMDUTF_FEATURE_UTF8	mapped one-to-one	CountUTF8	func CountUTF8(input []byte) int	bytes ([]byte)	none	int	Unicode scalar count	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/count_utf8.cpp;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/conversion.cpp;fuzz_utf_8_test.go (planned direct scalar-differential target for CountUTF8)	benchmarks/alignment.cpp;benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp	implemented	611becc-current-api	not_applicable
UTF-8	simdutf::trim_partial_utf8	size_t (const char *, size_t)	include/simdutf/implementation.h:3967	SIMDUTF_FEATURE_UTF8	mapped one-to-one	TrimPartialUTF8	func TrimPartialUTF8(input []byte) int	bytes ([]byte)	none	int	returned prefix length in input code units	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/utf8.h	not_applicable: no trim_partial_utf8 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no trim_partial_utf8 occurrence under src/arm64 at pinned tree	tests/readme_tests.cpp	fuzz/misc.cpp	benchmarks/stream.cpp	implemented	611becc-current-api	not_applicable
UTF-16	simdutf::trim_partial_utf16be	size_t (const char16_t *, size_t)	include/simdutf/implementation.h:4002	SIMDUTF_FEATURE_UTF16	mapped one-to-one	TrimPartialUTF16BE	func TrimPartialUTF16BE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	returned prefix length in input code units	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no trim_partial_utf16be occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no trim_partial_utf16be occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no trim_partial_utf16be occurrence under src/arm64 at pinned tree	tests/readme_tests.cpp	fuzz/misc.cpp	not_applicable: no trim_partial_utf16be occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
UTF-16	simdutf::trim_partial_utf16le	size_t (const char16_t *, size_t)	include/simdutf/implementation.h:4034	SIMDUTF_FEATURE_UTF16	mapped one-to-one	TrimPartialUTF16LE	func TrimPartialUTF16LE(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	returned prefix length in input code units	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no trim_partial_utf16le occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no trim_partial_utf16le occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no trim_partial_utf16le occurrence under src/arm64 at pinned tree	tests/readme_tests.cpp	fuzz/misc.cpp	not_applicable: no trim_partial_utf16le occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
UTF-16	simdutf::trim_partial_utf16	size_t (const char16_t *, size_t)	include/simdutf/implementation.h:4066	SIMDUTF_FEATURE_UTF16	mapped one-to-one	TrimPartialUTF16	func TrimPartialUTF16(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	returned prefix length in input code units	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:4066; native-endian delegate to simdutf::trim_partial_utf16le or simdutf::trim_partial_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/readme_tests.cpp	fuzz/misc.cpp	benchmarks/stream.cpp	planned	future-upstream-api	not_applicable
Shared helper	simdutf::is_partial	bool (last_chunk_handling_options)	include/simdutf/implementation.h:4135	SIMDUTF_FEATURE_BASE64	mapped one-to-one	IsPartial	func IsPartial(options LastChunkHandlingOptions) bool	LastChunkHandlingOptions value	none	bool	true only for stop_before_partial and only_full_chunks; false for loose and strict	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:4135-4138	not_applicable: inline option helper	not_applicable: inline option helper	tests; exact four-value truth-table test required in Go	not_applicable: finite four-value table	not_applicable: option helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
Find	simdutf::find	const char *(const char *, const char *, char) noexcept	include/simdutf/implementation.h:4158	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Find	func Find(input []byte, value byte) int	bytes ([]byte)	none	int	zero-based input byte index of the first match; absent value returns len(input)	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp;src/generic/find.h	src/westmere/implementation.cpp;src/haswell/implementation.cpp;src/generic/find.h	src/arm64/implementation.cpp;src/arm64/arm_find.cpp;src/generic/find.h	tests/find_tests.cpp	fuzz/find.cpp;fuzz_find_test.go (planned direct scalar-differential target)	benchmarks/find/findbenchmark.cpp	planned	future-upstream-api	not_applicable
Find	simdutf::find	const char16_t *(const char16_t *, const char16_t *, char16_t) noexcept	include/simdutf/implementation.h:4172	SIMDUTF_FEATURE_BASE64	split width-distinct overload with UTF16 suffix	FindUTF16	func FindUTF16(input []uint16, value uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	zero-based input UTF-16 code-unit index of the first match; absent value returns len(input)	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp;src/generic/find.h	src/westmere/implementation.cpp;src/haswell/implementation.cpp;src/generic/find.h	src/arm64/implementation.cpp;src/arm64/arm_find.cpp;src/generic/find.h	tests/find_tests.cpp	fuzz/find.cpp;fuzz_find_test.go (planned direct scalar-differential target)	not_applicable: pinned findbenchmark and shortbench find_equal call only the const char overload; no char16_t find benchmark exists	planned	future-upstream-api	not_applicable
Base64	simdutf::maximal_binary_length_from_base64	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:4244	SIMDUTF_FEATURE_BASE64	mapped one-to-one	MaximalBinaryLengthFromBase64	func MaximalBinaryLengthFromBase64(input []byte) int	bytes ([]byte)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	not_applicable: no maximal_binary_length_from_base64 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no maximal_binary_length_from_base64 occurrence under src/arm64 at pinned tree	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz/base64_details.cpp;fuzz/roundtrip.cpp	benchmarks/base64/benchmark_base64.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::maximal_binary_length_from_base64	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:4276	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	MaximalBinaryLengthFromBase64UTF16	func MaximalBinaryLengthFromBase64UTF16(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	not_applicable: no maximal_binary_length_from_base64 occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no maximal_binary_length_from_base64 occurrence under src/arm64 at pinned tree	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz/base64_details.cpp;fuzz/roundtrip.cpp	not_applicable: pinned Base64 benchmarks call only the const char overload; no char16_t maximal-length benchmark exists	planned	future-upstream-api	not_applicable
Base64	simdutf::binary_length_from_base64	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:4307	SIMDUTF_FEATURE_BASE64	mapped one-to-one	BinaryLengthFromBase64	func BinaryLengthFromBase64(input []byte) int	bytes ([]byte)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	src/haswell/avx2_base64.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz/base64_details.cpp;fuzz/roundtrip.cpp;fuzz_base64_test.go (planned direct scalar-differential target for BinaryLengthFromBase64)	benchmarks/base64/benchmark_base64.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::binary_length_from_base64	size_t (const char16_t *, size_t) noexcept	include/simdutf/implementation.h:4341	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	BinaryLengthFromBase64UTF16	func BinaryLengthFromBase64UTF16(input []uint16) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	src/haswell/avx2_base64.cpp;src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz/base64_details.cpp;fuzz/roundtrip.cpp;fuzz_base64_test.go (planned direct scalar-differential target for BinaryLengthFromBase64UTF16)	not_applicable: pinned Base64 benchmarks call only the const char overload; no char16_t exact-length benchmark exists	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_to_binary	result (const char *, size_t, char *, base64_options, last_chunk_handling_options) noexcept	include/simdutf/implementation.h:4412	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64ToBinary	func Base64ToBinary(input []byte, dst []byte, options Base64Options, lastChunk LastChunkHandlingOptions) Result	bytes ([]byte)	bytes ([]byte)	Result	Count is output bytes on success and input code-unit position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/atomic_base64.cpp;fuzz/base64.cpp;fuzz/base64_details.cpp;fuzz/roundtrip.cpp;fuzz_base64_test.go (planned direct scalar-differential target for Base64ToBinary)	benchmarks/base64/arm_base64_spaces.h;benchmarks/base64/benchmark_base64.cpp;benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_to_binary	result (const char16_t *, size_t, char *, base64_options, last_chunk_handling_options) noexcept	include/simdutf/implementation.h:4674	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	Base64ToBinaryUTF16	func Base64ToBinaryUTF16(input []uint16, dst []byte, options Base64Options, lastChunk LastChunkHandlingOptions) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output bytes on success and input code-unit position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/atomic_base64.cpp;fuzz/base64.cpp;fuzz/base64_details.cpp;fuzz/roundtrip.cpp;fuzz_base64_test.go (planned direct scalar-differential target for Base64ToBinaryUTF16)	not_applicable: pinned Base64 benchmarks decode only const char input; no char16_t decode benchmark exists	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_length_from_binary	size_t (size_t, base64_options) noexcept	include/simdutf/implementation.h:4446	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64LengthFromBinary	func Base64LengthFromBinary(length int, options Base64Options) int	byte count (int)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	not_applicable: no base64_length_from_binary occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_length_from_binary occurrence under src/arm64 at pinned tree	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz/roundtrip.cpp	benchmarks/base64/benchmark_base64.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_length_from_binary_with_lines	size_t (size_t, base64_options, size_t) noexcept	include/simdutf/implementation.h:4462	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64LengthFromBinaryWithLines	func Base64LengthFromBinaryWithLines(length int, options Base64Options, lineLength int) int	byte count (int)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	not_applicable: no base64_length_from_binary_with_lines occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_length_from_binary_with_lines occurrence under src/arm64 at pinned tree	tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp	benchmarks/base64/benchmark_base64.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::binary_to_base64	size_t (const char *, size_t, char *, base64_options) noexcept	include/simdutf/implementation.h:4490	SIMDUTF_FEATURE_BASE64	mapped one-to-one	BinaryToBase64	func BinaryToBase64(input, dst []byte, options Base64Options) int	bytes ([]byte)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz/roundtrip.cpp;fuzz_base64_test.go (planned direct scalar-differential target for BinaryToBase64)	benchmarks/base64/benchmark_base64.cpp;benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::binary_to_base64_with_lines	size_t (const char *, size_t, char *, size_t, base64_options) noexcept	include/simdutf/implementation.h:4536	SIMDUTF_FEATURE_BASE64	mapped one-to-one	BinaryToBase64WithLines	func BinaryToBase64WithLines(input, dst []byte, lineLength int, options Base64Options) int	bytes ([]byte)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/base64.cpp;fuzz_base64_test.go (planned direct scalar-differential target for BinaryToBase64WithLines)	benchmarks/base64/benchmark_base64.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_to_binary_details	full_result (const char *, size_t, char *, base64_options, last_chunk_handling_options) noexcept	include/simdutf/implementation.h:4748	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64ToBinaryDetails	func Base64ToBinaryDetails(input []byte, dst []byte, options Base64Options, lastChunk LastChunkHandlingOptions) FullResult	bytes ([]byte)	bytes ([]byte)	FullResult	InputCount is consumed input code units; OutputCount is written bytes; PaddingError is meaningful only on error	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp	fuzz/atomic_base64.cpp;fuzz/base64_details.cpp;fuzz_base64_test.go (planned direct scalar-differential target for Base64ToBinaryDetails)	not_applicable: no base64_to_binary_details occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_to_binary_details	full_result (const char16_t *, size_t, char *, base64_options, last_chunk_handling_options) noexcept	include/simdutf/implementation.h:4824	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	Base64ToBinaryDetailsUTF16	func Base64ToBinaryDetailsUTF16(input []uint16, dst []byte, options Base64Options, lastChunk LastChunkHandlingOptions) FullResult	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	FullResult	InputCount is consumed input code units; OutputCount is written bytes; PaddingError is meaningful only on error	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp	fuzz/atomic_base64.cpp;fuzz/base64_details.cpp;fuzz_base64_test.go (planned direct scalar-differential target for Base64ToBinaryDetailsUTF16)	not_applicable: no base64_to_binary_details occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_ignorable	bool (char, base64_options) noexcept	include/simdutf/implementation.h:4862	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64Ignorable	func Base64Ignorable(value byte, options Base64Options) bool	bytes ([]byte)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	not_applicable: no base64_ignorable occurrence under src/westmere or src/haswell at pinned tree	src/arm64/arm_base64.cpp	tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp	fuzz_base64_test.go (planned direct scalar-differential target for Base64Ignorable)	not_applicable: no base64_ignorable occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_ignorable	bool (char16_t, base64_options) noexcept	include/simdutf/implementation.h:4866	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	Base64IgnorableUTF16	func Base64IgnorableUTF16(value uint16, options Base64Options) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/base64.h	not_applicable: no base64_ignorable occurrence under src/westmere or src/haswell at pinned tree	src/arm64/arm_base64.cpp	tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp	fuzz_base64_test.go (planned direct scalar-differential target for Base64IgnorableUTF16)	not_applicable: no base64_ignorable occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_valid	bool (char, base64_options) noexcept	include/simdutf/implementation.h:4883	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64Valid	func Base64Valid(value byte, options Base64Options) bool	bytes ([]byte)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no base64_valid occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no base64_valid occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_valid occurrence under src/arm64 at pinned tree	tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp	not_applicable: no base64_valid occurrence under fuzz at pinned tree	not_applicable: no base64_valid occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_valid	bool (char16_t, base64_options) noexcept	include/simdutf/implementation.h:4887	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	Base64ValidUTF16	func Base64ValidUTF16(value uint16, options Base64Options) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no base64_valid occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no base64_valid occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_valid occurrence under src/arm64 at pinned tree	tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp	not_applicable: no base64_valid occurrence under fuzz at pinned tree	not_applicable: no base64_valid occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_valid_or_padding	bool (char, base64_options) noexcept	include/simdutf/implementation.h:4901	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64ValidOrPadding	func Base64ValidOrPadding(value byte, options Base64Options) bool	bytes ([]byte)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no base64_valid_or_padding occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no base64_valid_or_padding occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_valid_or_padding occurrence under src/arm64 at pinned tree	tests/constexpr_base64_tests.cpp	not_applicable: no base64_valid_or_padding occurrence under fuzz at pinned tree	not_applicable: no base64_valid_or_padding occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_valid_or_padding	bool (char16_t, base64_options) noexcept	include/simdutf/implementation.h:4906	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	Base64ValidOrPaddingUTF16	func Base64ValidOrPaddingUTF16(value uint16, options Base64Options) bool	UTF-16 code units ([]uint16; LE/BE names are raw storage)	none	bool	not_applicable	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no base64_valid_or_padding occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no base64_valid_or_padding occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_valid_or_padding occurrence under src/arm64 at pinned tree	tests/constexpr_base64_tests.cpp	not_applicable: no base64_valid_or_padding occurrence under fuzz at pinned tree	not_applicable: no base64_valid_or_padding occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_to_binary_safe	result (const char *, size_t, char *, size_t &, base64_options, last_chunk_handling_options, bool) noexcept	include/simdutf/implementation.h:4979	SIMDUTF_FEATURE_BASE64	mapped one-to-one	Base64ToBinarySafe	func Base64ToBinarySafe(input []byte, dst []byte, options Base64Options, lastChunk LastChunkHandlingOptions, decodeUpToBadChar bool) (Result, written int)	bytes ([]byte)	bytes ([]byte)	Result plus separate written int	Result.Count is consumed input position/error position; written is mutated output byte count, including partial output	dst length is supplied capacity; short output returns OUTPUT_BUFFER_TOO_SMALL with partial written count	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no base64_to_binary_safe occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no base64_to_binary_safe occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_to_binary_safe occurrence under src/arm64 at pinned tree	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/atomic_base64.cpp;fuzz/base64.cpp;fuzz/roundtrip.cpp	benchmarks/base64/benchmark_base64.cpp;benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Base64	simdutf::base64_to_binary_safe	result (const char16_t *, size_t, char *, size_t &, base64_options, last_chunk_handling_options, bool) noexcept	include/simdutf/implementation.h:4987	SIMDUTF_FEATURE_BASE64	split width-distinct Base64 input overload with UTF16 suffix	Base64ToBinarySafeUTF16	func Base64ToBinarySafeUTF16(input []uint16, dst []byte, options Base64Options, lastChunk LastChunkHandlingOptions, decodeUpToBadChar bool) (Result, written int)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result plus separate written int	Result.Count is consumed input position/error position; written is mutated output byte count, including partial output	dst length is supplied capacity; short output returns OUTPUT_BUFFER_TOO_SMALL with partial written count	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no base64_to_binary_safe occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no base64_to_binary_safe occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no base64_to_binary_safe occurrence under src/arm64 at pinned tree	tests/atomic_base64_tests.cpp;tests/base64_tests.cpp;tests/constexpr_base64_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/atomic_base64.cpp;fuzz/base64.cpp;fuzz/roundtrip.cpp	not_applicable: pinned safe Base64 benchmarks decode only const char input; no char16_t safe-decode benchmark exists	planned	future-upstream-api	not_applicable
Encoding detection	simdutf::BOM::check_bom	encoding_type (const uint8_t *, size_t); encoding_type (const char *, size_t)	include/simdutf/encoding_types.h:58	always	collapsed char and uint8_t pointer spellings to []byte	CheckBOM	func CheckBOM(input []byte) Encoding	bytes ([]byte)	none	Encoding	returns encoding from the leading BOM only; UTF32LE four-byte prefix takes precedence over UTF16LE two-byte prefix; otherwise unspecified	not_applicable	read-only input; nil is empty	src/encoding_types.cpp:24-45	not_applicable: non-accelerated prefix helper	not_applicable: non-accelerated prefix helper	tests; exact BOM prefix, truncation, precedence, and no-BOM table required in Go	not_applicable: bounded prefix table	not_applicable: BOM helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
Encoding detection	simdutf::BOM::bom_byte_size	size_t (encoding_type)	include/simdutf/encoding_types.h:66	always	mapped one-to-one	BOMByteSize	func BOMByteSize(encoding Encoding) int	Encoding value	none	int	UTF16LE/BE -> 2; UTF32LE/BE -> 4; UTF8 -> 3; unspecified or any other value -> 0	not_applicable	read-only input; nil is empty	src/encoding_types.cpp:47-64	not_applicable: non-accelerated value helper	not_applicable: non-accelerated value helper	tests; exact BOM byte-size table required in Go	not_applicable: finite enum/value table	not_applicable: BOM helper has no upstream benchmark procedure	implemented	611becc-current-api	not_applicable
